"cust_id","balance","balance_frequency","purchases","oneoff_purchases","installments_purchases","cash_advance","purchases_frequency","oneoff_purchases_frequency","purchases_installments_frequency","cash_advance_frequency","cash_advance_trx","purchases_trx","credit_limit","payments","minimum_payments","prc_full_payment","tenure"
"C10001",0.00827931292251629,0.818182,0.0351782882849663,0,0.081504327247563,0,0.166667,0,0.083333,0,0,0.0487804878048781,0.0701107011070111,0.0483089279397111,0.0734158718356464,0,1
"C10002",0.648257807240307,0.909091,0,0,0,1,0,0,0,0.166666666666667,0.4,0,0.512915129151292,0.982215357413051,0.564377610549145,0.222222,1
"C10003",0.505079215462739,1,0.285102695527121,0.535684839918799,0,0,1,1,0,0,0,0.292682926829268,0.549815498154982,0.148915099474239,0.330138695619361,0,1
"C10004",0.337374920834771,0.636364,0.552748995169438,1,0,0.0739102850730644,0.083333,0.083333,0,0.0555553333333333,0.1,0.024390243902439,0.549815498154982,0,0.45488572801068,0,1
"C10005",0.165525400541988,1,0.00589992256351635,0.0110854759479814,0,0,0.083333,0.083333,0,0,0,0.024390243902439,0.0848708487084871,0.16238496915011,0.128826975594642,0,1
"C10006",0.36635364711037,1,0.491640547217818,0,1,0,0.666667,0,0.583333,0,0,0.195121951219512,0.129151291512915,0.33515654834547,1,0,1
"C10007",0.126972943622714,1,1,1,0.588112670761818,0,1,1,1,0,0,1,0.992619926199262,1,0.104234772227879,1,1
"C10008",0.369151961527702,1,0.160846638887865,0,0.372664439679109,0,1,0,1,0,0,0.292682926829268,0.166051660516605,0.162559798503924,0.280006865219096,0,1
"C10009",0.205445965385934,1,0.317670268077731,0.458308217801889,0.170868610581893,0,0.333333,0.083333,0.25,0,0,0.121951219512195,0.512915129151292,0.164765393324479,0.164180631840914,0,1
"C10010",0.0308142641094456,0.545455,0.47258379733766,0.88794662343331,0,0,0.166667,0.166667,0,0,0,0.0731707317073171,0.808118081180812,0.278831701990321,0.05278040152337,0,1
"C10011",0.261760145710065,1,0.339289796821417,0,0.786098129843057,0,1,0,1,0,0,0.292682926829268,0.0848708487084871,0.259328889210973,1,0,1
"C10012",0.12768829919116,0.818182,0.55023415317674,1,0,0,0.25,0.25,0,0,0,0.146341463414634,0.143911439114391,0.168916389409838,0.0818575709110465,0,1
"C10013",0.307063489866672,1,1,1,0.613213269656298,0,1,0.25,0.916667,0,0,0.634146341463415,0.217712177121771,0.145610818965793,0.25799274058012,0.25,1
"C10014",0.186573302619942,1,0.788351340388657,0.290966029944642,1,0,0.75,0.166667,0.75,0,0,0.634146341463415,0.549815498154982,0.396399969830835,0.132167358609611,0.083333,1
"C10015",0.561277083894161,1,0,0,0,0.124559870274107,0,0,0,0.0555553333333333,0.1,0,0.217712177121771,0.192862180356573,0.521021255335077,0,1
"C10016",1,1,0.594306574726207,0,1,0.826597574129587,0.5,0,0.5,0.111111333333333,0.4,0.268292682926829,0.586715867158672,0.477204756640584,1,0,1
"C10017",0.419438577408125,0.875,0,0,0,0.999992808232618,0,0,0,0.166666666666667,0.3,0,0.217712177121771,0.0938338717545543,0.198189055753733,0,0.333333333333333
"C10018",0.00831751851921565,0.454545,0.191378738154062,0,0.443404044460012,0,0.416667,0,0.333333,0,0,0.195121951219512,0.180811808118081,0.0609458619103326,0.0385177961677232,0.25,1
"C10019",0.40263691506233,1,0.185976621556842,0.115011812960307,0.289066971951918,0,0.666667,0.083333,0.583333,0,0,0.219512195121951,0.955719557195572,0.411947225719526,0.391890387601059,0,1
"C10020",0.724268912091917,1,0.14699657067001,0,0.340575314611829,0,1,0,1,0,0,0.292682926829268,0.291512915129151,0.252309913138653,1,0,1
"C10021",0.408226352564852,1,0.0651498949076293,0,0.150945330588044,0,0.666667,0,0.666667,0,0,0.195121951219512,0.143911439114391,0.0533998693641451,1,0,1
"C10022",1,1,1,1,0.384377482934498,0.0822571844780138,1,0.916667,1,0.222222,0.6,1,0.826568265682657,0.497437747255521,0.873552815376669,0,1
"C10023",0.0267893093553556,0.636364,0.300859176223312,0,0.697058496868833,0,1,0,1,0,0,0.414634146341463,0.129151291512915,0.564866285550378,0.0454263693288843,0,1
"C10024",0.769243673339923,0.818182,1,1,0.678168971969004,1,1,0.083333,0.916667,0.222222,1,0.317073170731707,0.660516605166052,1,0.750211886658266,0,1
"C10025",1,1,0,0,0,0.286948739748125,0,0,0,0.242424,0.4,0,0.439114391143911,0.34058321204634,0.872093768687832,0,0.833333333333333
"C10026",0.0343679683946916,1,0.147350566023821,0,0.341395483942622,0,1,0,1,0,0,0.292682926829268,0.217712177121771,0.0515416327358403,0.0857820140737549,0,1
"C10027",0.327111331200683,1,0.0376120063424168,0.0706699091683815,0,0.0879362671723366,0.166667,0.166667,0,0.166666666666667,0.5,0.0487804878048781,0.121771217712177,0.213097827456332,0.511137258462073,0,1
"C10028",0.0254437081991193,1,0.0860208709760684,0,0.19930114738272,0,1,0,1,0,0,0.292682926829268,0.0701107011070111,0.0497384626895184,0.0866995283670544,0,1
"C10029",1,1,0.142722814263063,0.141720881572475,0.155917607155977,0.803128073086352,0.666667,0.166667,0.416667,0.555555333333333,1,0.195121951219512,0.771217712177122,0.38336696658887,0.867803503066996,0,1
"C10030",0.00446619053046703,1,0.0368745160219772,0,0.0854343052909465,0,0.416667,0,0.416667,0,0,0.121951219512195,0.505535055350554,0.0384858203985883,0.084034075721582,0,1
"C10031",1,1,1,0.701987764405922,1,1,1,0.166667,1,0.333333333333333,1,1,0.955719557195572,1,1,0,1
"C10032",0.235272575347927,1,0.496961539879789,0.277136898699535,0.809669454672829,0.0631455259729047,1,0.083333,1,0.111111333333333,0.2,1,0.439114391143911,0.154644018817798,0.135173140640758,0,1
"C10033",1,1,0.119823739813415,0.225139088081035,0,0.427229826449332,0.083333,0.083333,0,0.111111333333333,0.3,0.0731707317073171,0.771217712177122,0.411775226406585,1,0,1
"C10034",0.0254367520842259,1,0.234813230576349,0.441195014307192,0,0,0.916667,0.916667,0,0,0,0.268292682926829,0.0848708487084871,0.101368630316804,0.103306349550087,0.3,1
"C10035",0.711947472139245,0.727273,0.201806851285077,0,0.467564865996292,0,1,0,1,0,0,0.341463414634146,0.808118081180812,1,1,0,1
"C10036",0.335285948561804,1,0,0,0,0.0356515300041367,0,0,0,0.0555553333333333,0.1,0,0.129151291512915,0.0841448088528416,0.333972642769585,0,1
"C10037",1,1,0,0,0,1,0,0,0,0.484848666666667,1,0,0.660516605166052,0.391724768640245,1,0,0.833333333333333
"C10038",0.819309209298278,1,0.877816291161179,1,0.630829823407291,0.609727441760155,0.75,0.5,0.75,0.222222,0.7,1,0.365313653136531,0.38730395250331,0.811114356223042,0,1
"C10039",1,1,0.0752240126848335,0.141339818336763,0,1,0.083333,0.083333,0,0.222222,1,0.0487804878048781,0.660516605166052,0.296149261197051,1,0,1
"C10040",0.285742849948587,0.454545,0.355190088130093,0.66737336575835,0,1,0.083333,0.083333,0,0.222222,0.6,0.146341463414634,0.549815498154982,1,0.378909162687606,0.333333,1
"C10041",0.134298079156158,0.727273,0,0,0,1,0,0,0,0.166666666666667,0.3,0,0.129151291512915,0.734215785880569,0.149112280238421,0.166667,1
"C10043",0.158880903361387,0.909091,0.562922674139902,0.544781858618611,0.632461618638348,0.785987052943192,0.583333,0.416667,0.333333,0.166666666666667,1,0.658536585365854,0.217712177121771,0.302181352559247,0.191117029456188,0.111111,1
"C10044",0.8308939563203,1,0.0751576385559939,0.141215106732348,0,0,0.083333,0.083333,0,0,0,0.024390243902439,0.328413284132841,0.207854383167856,0.948020863685863,0,1
"C10045",0.275447570559445,1,0,0,0,0.532122938937707,0,0,0,0.0555553333333333,0.1,0,0.107011070110701,0.0905589684205228,0.169123103696882,0,1
"C10046",1,1,0.562498617205649,0.325497287522604,0.901878700373348,0,1,0.333333,1,0,0,0.48780487804878,0.623616236162362,0.342406099735755,0.694048072264145,0,1
"C10047",0.453898781125233,1,0.16114163501604,0.0672056979346373,0.290476637989218,0.0663179404857595,0.333333,0.083333,0.333333,0.111111333333333,0.2,0.121951219512195,0.173431734317343,0,0.45488572801068,0,1
"C10048",0.0960397182889417,0.5,0.0404660938825178,0,0.0937556066262847,0.364063309164181,0.375,0,0.25,0.0833333333333333,0.1,0.0731707317073171,0.121771217712177,0.0421353407579131,0.0774632293232398,0,0.333333333333333
"C10049",0.791502241021803,1,0,0,0,0.711445229483423,0,0,0,0.333333333333333,0.7,0,0.306273062730627,0,0.45488572801068,0,1
"C10050",0.0465307445972949,1,0.881522180021387,0.972009173231347,0.843809003067092,0,1,0.666667,1,0,0,1,0.239852398523985,0.608991080407784,0.0924410912290164,0.916667,1
"C10051",0.174856257839032,1,0.187138168811534,0.351617440225035,0,0.249649274647353,0.166667,0.166667,0,0.0555553333333333,0.2,0.0731707317073171,0.291512915129151,0.140727971964515,0.150751892637867,0.083333,1
"C10052",0.998222295852733,1,0.332394262325307,0.447624590357022,0.218156498560432,1,0.625,0.375,0.25,0.583333333333333,1,0.219512195121951,0.881918819188192,1,0.532838634149251,0,0.333333333333333
"C10053",0.218393458715379,1,1,1,0.757041922613606,0,0.666667,0.583333,0.5,0,0,0.439024390243902,0.180811808118081,0.335101625635468,0.696012108313102,0,1
"C10054",0.316932185165856,1,0,0,0,0.11541850504679,0,0,0,0.166666666666667,0.3,0,0.254612546125461,0.165614432158597,0.306032002730635,0,1
"C10055",0.0940614252450524,0.888889,0.729827796010177,1,0,0.711586127642011,0.666667,0.666667,0,0.074074,0.1,0.268292682926829,0.217712177121771,0.744508237100162,0.069698149559044,0.2,0.5
"C10056",0.00134825170240133,0.636364,0.114310999668129,0,0.264846346401934,0,0.666667,0,0.666667,0,0,0.195121951219512,0.0701107011070111,0.0998286655623366,0.45488572801068,0,1
"C10057",0.265580107215657,1,0.473431911206165,0.889540160600833,0,0,0.25,0.25,0,0,0,0.146341463414634,0.439114391143911,0,0.45488572801068,0,1
"C10058",0.733832904701045,1,0.115516796342048,0.217046690639008,0,0.240085482516521,0.25,0.25,0,0.277778,0.5,0.0975609756097561,0.291512915129151,0,0.45488572801068,0,1
"C10059",0.48305174103477,1,1,1,0.366111628463293,0,0.916667,0.916667,0.5,0,0,1,0.549815498154982,1,0.690258589175423,0.083333,1
"C10060",0.80385570675417,1,0,0,0,0.0806579543545571,0,0,0,0.121212,0.3,0,0.291512915129151,0.183116889363968,0.842204061497124,0,0.833333333333333
"C10061",1,1,0.0844426416903278,0,0.195644559116268,0.348595040096845,0.416667,0,0.333333,0.222222,0.4,0.146341463414634,0.439114391143911,0.505241299375075,0.997368766187209,0,1
"C10062",0.380378684417212,0.727273,0.0416682031048342,0.0782911738826187,0,0,0.166667,0.166667,0,0,0,0.0487804878048781,0.476014760147601,0.840175640437496,0.288465703184422,0,1
"C10063",0.314930733749124,1,0.0244109296065489,0.0458661567347731,0,0,0.083333,0.083333,0,0,0,0.024390243902439,0.114391143911439,0.0809330552643981,0.44062826583116,0,1
"C10064",0.163879414814742,0.909091,0,0,0,1,0,0,0,0.363636666666667,0.7,0,0.302583025830258,1,0.127171270617552,0.090909,0.833333333333333
"C10065",0.0014478119571169,0.090909,0.309745934584609,0.581987487269024,0,0,0.083333,0.083333,0,0,0,0.024390243902439,0.114391143911439,0,0.45488572801068,0,1
"C10067",0.389441789589112,1,0.696058114237251,0,1,0.576788568906412,1,0,1,0.0555553333333333,0.4,1,0.132841328413284,0.882872688052725,1,0.083333,1
"C10068",0.355874381883029,1,0.152044691913419,0.22531922706519,0.0744303667694726,0,0.583333,0.333333,0.166667,0,0,0.268292682926829,0.129151291512915,0.186112327957136,0.472570142985963,0,1
"C10069",0.163932951434421,0.875,0,0,0,0.326267043208749,0,0,0,0.0833333333333333,0.1,0,0.107011070110701,0.0349684966059664,0.0944172256584774,0,0.333333333333333
"C10070",0.319082728691035,1,0,0,0,0.137524430616788,0,0,0,0.277778,0.6,0,0.180811808118081,0.129274654831451,0.185717609658032,0,1
"C10071",0.807779667683364,1,0.09716434971791,0.132055732230328,0.0622816085571,0,0.666667,0.083333,0.583333,0,0,0.195121951219512,0.439114391143911,1,0.527149919004903,0.083333,1
"C10072",0.344007347645946,1,0.502854087540101,0.944822043468923,0,0,0.333333,0.333333,0,0,0,0.0975609756097561,0.121771217712177,0.388721589925983,0.486044005195671,0,1
"C10073",1,1,0.154541096648107,0,0.358055173474357,0.224616805087244,0.916667,0,0.833333,0.222222,0.4,0.268292682926829,0.457564575645756,0.308382747968759,1,0,1
"C10074",0.605334661434421,0.909091,1,1,1,1,0.666667,0.5,0.583333,0.555555333333333,1,0.804878048780488,0.512915129151292,1,0.582635752513436,0.454545,1
"C10075",0.132793093618697,1,0,0,0,0.529523648018603,0,0,0,0.0833333333333333,0.3,0,0.512915129151292,0.217952403254168,0.0741913460786885,0.25,0.333333333333333
"C10077",0.366180304549001,1,0.263247169880895,0.348555077494405,0.180112602414373,0,0.5,0.1,0.4,0,0,0.195121951219512,0.162361623616236,0.212819796168755,0.327756024131389,0,0.666666666666667
"C10078",0.107757538760465,0.909091,0.292024042184446,0.35795001836032,0.235200642465976,0,0.272727,0.090909,0.181818,0,0,0.170731707317073,0.439114391143911,0.312443335954263,0.092363469910223,0,0.833333333333333
"C10079",1,1,0.207186843172683,0.172864140563835,0.26687113943733,0,0.833333,0.166667,0.75,0,0,0.341463414634146,0.439114391143911,0.476392208145702,1,0,1
"C10080",0.349716317817107,1,0.223500129060806,0.419938614176938,0,0,1,1,0,0,0,0.414634146341463,0.808118081180812,0.70856844207499,0.32822933675557,0,1
"C10081",0.117165249345977,1,0.117998451270327,0,0.273389776931029,0,0.75,0,0.666667,0,0,0.195121951219512,0.107011070110701,0.344457428841565,0.100087758758501,0,1
"C10082",0.24406657377005,1,0,0,0,0.0137649942832363,0,0,0,0.0555553333333333,0.1,0,0.0848708487084871,0.00700895243237185,1,0,1
"C10083",1,1,0.143316493971017,0.269280067621403,0,1,0.583333,0.583333,0,0.277778,0.7,0.170731707317073,0.512915129151292,0.388905144241709,1,0,1
"C10084",0.00351359569599302,0.909091,0.0902872524798112,0.0278591867417708,0.174832762347393,0,0.666667,0.166667,0.583333,0,0,0.317073170731707,0.365313653136531,0.0856534018549411,0.0639493925106676,0.181818,1
"C10085",0.0165147428488915,0.272727,0,0,0,1,0,0,0,0.111111333333333,0.5,0,0.697416974169742,0.0279051876154004,0.0866696953091475,0,1
"C10086",0.000766441839772975,0.636364,0.0490615435672407,0.0195381513583172,0.0895778690975574,0,0.416667,0.166667,0.25,0,0,0.121951219512195,0.881918819188192,0.0502841987993394,0.0523759149843018,0.444444,1
"C10087",0.00859584023867848,0.545455,0.14602308344703,0,0.338319848952148,0,0.5,0,0.416667,0,0,0.292682926829268,0.0848708487084871,0.173701166230543,0.0740999048062138,1,1
"C10088",0.391764748369108,1,1,1,0.341959350357543,0.105536525695543,1,1,0.333333,0.0555553333333333,0.1,1,0.660516605166052,1,0.313018699840484,0,1
