customer ID,cluster number
C10001,2
C10002,3
C10003,1
C10004,2
C10005,2
C10006,4
C10007,1
C10008,4
C10009,2
C10010,2
C10011,4
C10012,2
C10013,1
C10014,4
C10015,2
C10016,3
C10017,3
C10018,2
C10019,4
C10020,4
C10021,4
C10022,1
C10023,4
C10024,1
C10025,3
C10026,4
C10027,2
C10028,4
C10029,3
C10030,2
C10031,1
C10032,4
C10033,3
C10034,2
C10035,4
C10036,2
C10037,3
C10038,1
C10039,3
C10040,3
C10041,3
C10043,1
C10044,2
C10045,2
C10046,1
C10047,2
C10048,2
C10049,3
C10050,1
C10051,2
C10052,3
C10053,1
C10054,2
C10055,1
C10056,4
C10057,2
C10058,3
C10059,1
C10060,2
C10061,3
C10062,2
C10063,2
C10064,3
C10065,2
C10067,1
C10068,2
C10069,2
C10070,2
C10071,4
C10072,2
C10073,4
C10074,1
C10075,2
C10077,2
C10078,2
C10079,4
C10080,1
C10081,4
C10082,2
C10083,3
C10084,4
C10085,3
C10086,2
C10087,4
C10088,1
C10089,1
C10090,1
C10092,1
C10093,2
C10094,3
C10095,1
C10096,3
C10097,2
C10098,2
C10099,2
C10100,2
C10101,2
C10102,3
C10103,2
C10104,2
C10105,2
C10106,4
C10107,1
C10108,4
C10109,2
C10110,3
C10111,4
C10112,3
C10113,4
C10114,1
C10115,4
C10116,2
C10117,1
C10118,3
C10119,1
C10120,4
C10121,4
C10122,3
C10123,2
C10124,2
C10125,1
C10126,2
C10127,1
C10128,2
C10130,3
C10131,1
C10132,2
C10133,1
C10134,3
C10135,3
C10136,2
C10137,1
C10138,2
C10139,3
C10140,4
C10141,2
C10142,1
C10143,4
C10144,1
C10145,2
C10146,2
C10147,2
C10148,3
C10149,1
C10150,1
C10151,2
C10152,4
C10153,2
C10154,4
C10155,4
C10156,1
C10157,1
C10158,4
C10159,1
C10160,1
C10161,4
C10162,1
C10163,2
C10164,1
C10165,2
C10166,2
C10167,3
C10168,4
C10169,2
C10170,4
C10171,3
C10172,4
C10173,1
C10174,4
